# zone_by: areal
# zone_cuts: [7.5, 15.0, 30.0, 50.0]
seg_id,segment_label,direction,width_m,eventA,from_km_A,to_km_A,eventB,from_km_B,to_km_B,length_km,peak_km,peak_A,peak_B,peak_combined,areal_density,crowd_density,zone
I3,Station/Barker to Bridge/Mill (Half + Full co-direction),uni,3.0,Half,4.95,10.84,Full,23.26,29.06,5.89,4.95,2,0,2,0.67,0.22,green
J1,Bridge/Mill to Half Turn (Half outbound),uni,3.0,Half,10.84,13.43,Half,10.84,13.43,2.59,10.84,1,1,2,0.67,0.22,green
J2,Bridge/Mill to Half Turn (Full outbound),uni,3.0,Full,29.06,31.64,Full,29.06,31.64,2.58,29.06,2,2,4,1.33,0.44,green
J3,Bridge/Mill to Half Turn (Half + Full co-direction),uni,3.0,Half,10.84,13.43,Full,29.06,31.64,2.59,10.84,1,0,1,0.33,0.11,green
K1,Half Turn to Full Turn (Full outbound spur),uni,3.0,Full,31.64,33.11,Full,31.64,33.11,1.47,31.64,1,1,2,0.67,0.22,green
K2,Full Turn to Half Turn (Full returning spur),uni,3.0,Full,33.11,34.34,Full,33.11,34.34,1.23,33.11,1,1,2,0.67,0.22,green
L1,Half Turn to Bridge/Mill (Half returning),uni,3.0,Half,13.43,16.02,Half,13.43,16.02,2.59,13.43,1,1,2,0.67,0.22,green
L2,Half Turn to Bridge/Mill (Full returning),uni,3.0,Full,34.34,35.47,Full,34.34,36.92,1.13,34.34,1,1,2,0.67,0.22,green
L3,Half Turn to Bridge/Mill (Half + Full co-direction return),uni,3.0,Half,13.43,16.02,Full,34.34,36.92,2.59,13.43,1,0,1,0.33,0.11,green
L4,Bridge/Mill sector counter-flow (optional),bi,1.5,Full,34.34,36.92,Half,10.84,13.43,2.58,34.34,0,1,1,1.33,0.44,green
M1,Bridge/Mill to Station/Barker (Full returning vs Half outbound),uni,3.0,Full,36.92,40.5,Half,16.02,19.35,3.58,36.92,0,1,1,0.33,0.11,green
M2,Bridge/Mill to Station/Barker (Full returning vs Full outbound),uni,3.0,Full,36.92,40.5,Full,36.92,40.5,3.58,36.92,1,1,2,0.67,0.22,green
