seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,from_km_a,to_km_a,from_km_b,to_km_b,width_m,overtaking_a,overtaking_b,sample_a,sample_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,overtaking_load_a,overtaking_load_b,max_overtaking_load_a,max_overtaking_load_b,spatial_zone_exists,temporal_overlap_exists,true_pass_exists,has_convergence_policy,has_convergence,convergence_zone_start,convergence_zone_end,no_pass_reason_code,conflict_length_m,worst_zone_index,convergence_points_json,analysis_timestamp,app_version,environment,data_source,start_times,min_overlap_duration,conflict_length_m
B1a,Friel to 10K Turn (Late Overlaps),10k,full,618,368,overtake,2.7,4.25,14.8,16.35,100.0,0,0,,,0.0,0.0,0,0,72,0,0.0,0.1,0,5,True,False,False,False,False,3.45,3.61,SPATIAL_ONLY_NO_TEMPORAL,150.0,0,"[{""km"": 3.53, ""type"": ""true_pass""}, {""km"": 3.72, ""type"": ""true_pass""}, {""km"": 3.83, ""type"": ""true_pass""}, {""km"": 3.94, ""type"": ""true_pass""}, {""km"": 4.04, ""type"": ""true_pass""}, {""km"": 4.15, ""type"": ""true_pass""}]",2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
B2,10K Turn to Friel (Back),full,10k,368,618,overtake,14.8,16.35,4.25,5.8,1.5,113,0,"2534, 2535, 2543, ... (10 total)",,30.7,0.0,79,64,1223,186,0.9,0.0,7,0,True,True,True,True,True,14.93,15.09,,150.0,2,"[{""km"": 14.8, ""type"": ""true_pass""}, {""km"": 14.9, ""type"": ""true_pass""}, {""km"": 15.01, ""type"": ""true_pass""}, {""km"": 15.11, ""type"": ""true_pass""}, {""km"": 15.21, ""type"": ""true_pass""}, {""km"": 15.32, ""type"": ""true_pass""}, {""km"": 15.42, ""type"": ""true_pass""}, {""km"": 15.53, ""type"": ""true_pass""}, {""km"": 15.63, ""type"": ""true_pass""}, {""km"": 15.73, ""type"": ""true_pass""}, {""km"": 15.84, ""type"": ""true_pass""}, {""km"": 15.94, ""type"": ""true_pass""}, {""km"": 16.04, ""type"": ""true_pass""}, {""km"": 16.15, ""type"": ""true_pass""}, {""km"": 16.25, ""type"": ""true_pass""}]",2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,2.7,4.25,4.25,5.8,1.5,1,531,1529,"1015, 1024, 1072, ... (10 total)",0.2,85.9,549,546,24926,618,0.0,4.6,6,40,True,True,True,True,True,2.93,3.09,,150.0,3,"[{""km"": 2.7, ""type"": ""true_pass""}, {""km"": 2.8, ""type"": ""true_pass""}, {""km"": 2.91, ""type"": ""true_pass""}, {""km"": 3.01, ""type"": ""true_pass""}, {""km"": 3.11, ""type"": ""true_pass""}, {""km"": 3.22, ""type"": ""true_pass""}, {""km"": 3.32, ""type"": ""true_pass""}, {""km"": 3.42, ""type"": ""true_pass""}, {""km"": 3.53, ""type"": ""true_pass""}, {""km"": 3.63, ""type"": ""true_pass""}, {""km"": 3.73, ""type"": ""true_pass""}, {""km"": 3.84, ""type"": ""true_pass""}, {""km"": 3.94, ""type"": ""true_pass""}, {""km"": 4.04, ""type"": ""true_pass""}, {""km"": 4.15, ""type"": ""true_pass""}]",2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
D1,10K Turn to Full Turn Blake Crt (out/return),full,full,368,368,none,4.25,9.52,9.52,14.79,100.0,0,38,,"2538, 2541, 2543, ... (10 total)",0.0,10.3,40,88,3346,128,0.0,1.0,0,16,True,True,True,True,True,5.31,5.84,,200.0,4,"[{""km"": 4.25, ""type"": ""true_pass""}, {""km"": 4.41, ""type"": ""true_pass""}, {""km"": 4.52, ""type"": ""true_pass""}, {""km"": 4.68, ""type"": ""true_pass""}, {""km"": 4.79, ""type"": ""true_pass""}, {""km"": 4.94, ""type"": ""true_pass""}, {""km"": 5.05, ""type"": ""true_pass""}, {""km"": 5.2, ""type"": ""true_pass""}, {""km"": 5.31, ""type"": ""true_pass""}, {""km"": 5.47, ""type"": ""true_pass""}, {""km"": 5.58, ""type"": ""true_pass""}, {""km"": 5.73, ""type"": ""true_pass""}, {""km"": 5.84, ""type"": ""true_pass""}, {""km"": 5.99, ""type"": ""true_pass""}, {""km"": 6.1, ""type"": ""true_pass""}, {""km"": 6.26, ""type"": ""true_pass""}, {""km"": 6.37, ""type"": ""true_pass""}, {""km"": 6.52, ""type"": ""true_pass""}, {""km"": 6.63, ""type"": ""true_pass""}, {""km"": 6.79, ""type"": ""true_pass""}, {""km"": 6.89, ""type"": ""true_pass""}, {""km"": 7.05, ""type"": ""true_pass""}, {""km"": 7.16, ""type"": ""true_pass""}, {""km"": 7.31, ""type"": ""true_pass""}, {""km"": 7.42, ""type"": ""true_pass""}, {""km"": 7.58, ""type"": ""true_pass""}, {""km"": 7.69, ""type"": ""true_pass""}, {""km"": 7.84, ""type"": ""true_pass""}, {""km"": 7.95, ""type"": ""true_pass""}, {""km"": 8.1, ""type"": ""true_pass""}, {""km"": 8.21, ""type"": ""true_pass""}, {""km"": 8.37, ""type"": ""true_pass""}, {""km"": 8.48, ""type"": ""true_pass""}, {""km"": 8.63, ""type"": ""true_pass""}, {""km"": 8.74, ""type"": ""true_pass""}, {""km"": 8.89, ""type"": ""true_pass""}, {""km"": 9.0, ""type"": ""true_pass""}, {""km"": 9.16, ""type"": ""true_pass""}, {""km"": 9.27, ""type"": ""true_pass""}, {""km"": 9.42, ""type"": ""true_pass""}]",2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
F1a,Friel to Station Rd.,10k,half,618,912,merge,5.8,8.1,2.7,5.0,100.0,159,652,"1392, 1423, 1452, ... (10 total)","1692, 1702, 1867, ... (10 total)",25.7,71.5,546,912,161834,1463,0.5,3.6,10,14,True,True,True,True,True,6.1,6.33,,200.0,2,"[{""km"": 5.8, ""type"": ""true_pass""}, {""km"": 5.9, ""type"": ""true_pass""}, {""km"": 6.01, ""type"": ""true_pass""}, {""km"": 6.11, ""type"": ""true_pass""}, {""km"": 6.22, ""type"": ""true_pass""}, {""km"": 6.32, ""type"": ""true_pass""}, {""km"": 6.43, ""type"": ""true_pass""}, {""km"": 6.53, ""type"": ""true_pass""}, {""km"": 6.64, ""type"": ""true_pass""}, {""km"": 6.75, ""type"": ""true_pass""}, {""km"": 6.85, ""type"": ""true_pass""}, {""km"": 6.96, ""type"": ""true_pass""}, {""km"": 7.06, ""type"": ""true_pass""}, {""km"": 7.17, ""type"": ""true_pass""}, {""km"": 7.27, ""type"": ""true_pass""}, {""km"": 7.38, ""type"": ""true_pass""}, {""km"": 7.48, ""type"": ""true_pass""}, {""km"": 7.59, ""type"": ""true_pass""}, {""km"": 7.69, ""type"": ""true_pass""}, {""km"": 7.8, ""type"": ""true_pass""}, {""km"": 7.9, ""type"": ""true_pass""}, {""km"": 8.01, ""type"": ""true_pass""}]",2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
F1b,Friel to Station Rd.,10k,full,618,368,merge,5.8,8.1,16.35,18.65,100.0,0,229,,"2543, 2576, 2605, ... (10 total)",0.0,62.2,127,185,4825,362,0.0,2.1,0,15,True,True,True,True,True,5.89,6.12,,200.0,1,"[{""km"": 5.8, ""type"": ""true_pass""}, {""km"": 5.9, ""type"": ""true_pass""}, {""km"": 6.01, ""type"": ""true_pass""}, {""km"": 6.11, ""type"": ""true_pass""}, {""km"": 6.22, ""type"": ""true_pass""}, {""km"": 6.32, ""type"": ""true_pass""}, {""km"": 6.43, ""type"": ""true_pass""}, {""km"": 6.53, ""type"": ""true_pass""}, {""km"": 6.64, ""type"": ""true_pass""}, {""km"": 6.75, ""type"": ""true_pass""}, {""km"": 6.85, ""type"": ""true_pass""}, {""km"": 6.96, ""type"": ""true_pass""}, {""km"": 7.06, ""type"": ""true_pass""}, {""km"": 7.17, ""type"": ""true_pass""}, {""km"": 7.27, ""type"": ""true_pass""}, {""km"": 7.38, ""type"": ""true_pass""}, {""km"": 7.48, ""type"": ""true_pass""}, {""km"": 7.59, ""type"": ""true_pass""}, {""km"": 7.69, ""type"": ""true_pass""}, {""km"": 7.8, ""type"": ""true_pass""}, {""km"": 7.9, ""type"": ""true_pass""}, {""km"": 8.01, ""type"": ""true_pass""}]",2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
F1c,Friel to Station Rd.,half,full,912,368,merge,2.7,5.0,16.35,18.65,100.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,,,2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
G1,Full Loop QS to Trail/Aberdeen (Full Only),full,full,368,368,none,20.55,21.65,20.55,21.65,3.0,13,13,"2693, 2697, 2712, ... (10 total)","2693, 2697, 2712, ... (10 total)",3.5,3.5,368,368,2088,368,0.0,0.0,1,1,True,True,True,True,True,20.55,20.61,,150.0,0,"[{""km"": 20.55, ""type"": ""true_pass""}, {""km"": 20.65, ""type"": ""true_pass""}, {""km"": 20.75, ""type"": ""true_pass""}, {""km"": 20.85, ""type"": ""true_pass""}, {""km"": 20.95, ""type"": ""true_pass""}, {""km"": 21.05, ""type"": ""true_pass""}, {""km"": 21.15, ""type"": ""true_pass""}, {""km"": 21.25, ""type"": ""true_pass""}, {""km"": 21.35, ""type"": ""true_pass""}, {""km"": 21.45, ""type"": ""true_pass""}, {""km"": 21.55, ""type"": ""true_pass""}]",2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
H1a,Trail/Aberdeen to Station Rd (Full outbound to Station vs 10K finish),full,10k,368,618,counterflow,21.65,23.26,8.1,10.0,100.0,186,0,"2543, 2576, 2595, ... (10 total)",,50.5,0.0,136,89,1827,292,1.3,0.0,7,0,True,True,True,True,True,21.67,21.83,,150.0,1,"[{""km"": 21.65, ""type"": ""true_pass""}, {""km"": 21.75, ""type"": ""true_pass""}, {""km"": 21.85, ""type"": ""true_pass""}, {""km"": 21.95, ""type"": ""true_pass""}, {""km"": 22.05, ""type"": ""true_pass""}, {""km"": 22.15, ""type"": ""true_pass""}, {""km"": 22.25, ""type"": ""true_pass""}, {""km"": 22.35, ""type"": ""true_pass""}, {""km"": 22.45, ""type"": ""true_pass""}, {""km"": 22.56, ""type"": ""true_pass""}, {""km"": 22.66, ""type"": ""true_pass""}, {""km"": 22.76, ""type"": ""true_pass""}, {""km"": 22.86, ""type"": ""true_pass""}, {""km"": 22.96, ""type"": ""true_pass""}, {""km"": 23.06, ""type"": ""true_pass""}, {""km"": 23.16, ""type"": ""true_pass""}, {""km"": 23.26, ""type"": ""true_pass""}]",2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
H1b,Trail/Aberdeen to Station Rd. (Full outbound to Station vs Half finish),full,half,368,912,counterflow,21.65,23.26,19.35,20.85,100.0,0,411,,"1690, 1691, 1716, ... (10 total)",0.0,45.1,235,726,5724,1000,0.0,0.6,0,4,True,True,True,True,True,21.87,22.03,,150.0,3,"[{""km"": 21.65, ""type"": ""true_pass""}, {""km"": 21.75, ""type"": ""true_pass""}, {""km"": 21.85, ""type"": ""true_pass""}, {""km"": 21.95, ""type"": ""true_pass""}, {""km"": 22.05, ""type"": ""true_pass""}, {""km"": 22.15, ""type"": ""true_pass""}, {""km"": 22.25, ""type"": ""true_pass""}, {""km"": 22.35, ""type"": ""true_pass""}, {""km"": 22.45, ""type"": ""true_pass""}, {""km"": 22.56, ""type"": ""true_pass""}, {""km"": 22.66, ""type"": ""true_pass""}, {""km"": 22.76, ""type"": ""true_pass""}, {""km"": 22.86, ""type"": ""true_pass""}, {""km"": 22.96, ""type"": ""true_pass""}, {""km"": 23.06, ""type"": ""true_pass""}, {""km"": 23.16, ""type"": ""true_pass""}, {""km"": 23.26, ""type"": ""true_pass""}]",2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
