seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,from_km_a,to_km_a,from_km_b,to_km_b,width_m,overtaking_a,overtaking_b,sample_a,sample_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,overtaking_load_a,overtaking_load_b,max_overtaking_load_a,max_overtaking_load_b,spatial_zone_exists,temporal_overlap_exists,true_pass_exists,has_convergence_policy,has_convergence,convergence_zone_start,convergence_zone_end,no_pass_reason_code,conflict_length_m,analysis_timestamp,app_version,environment,data_source,start_times,min_overlap_duration,conflict_length_m
B2,Friel to 10K Turn (10K out/return),10K,10K,618,618,nan,2.7,4.25,4.25,5.8,1.5,463,520,"1199, 1201, 1234, ... (10 total)","1007, 1036, 1085, ... (10 total)",74.9,84.1,463,520,11350,618,0,2.5,2,22,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,150,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
C1,10K Turn to Friel (10K slow vs Full fast),10K,Full,618,368,overtake,4.25,5.8,14.8,16.35,100,56,81,"1563, 1569, 1572, ... (10 total)","2553, 2560, 2568, ... (10 total)",9.1,22,56,81,563,137,0,0.5,0,7,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,150,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
C2,10K Turn to Friel (10K fast vs. Full slow),10K,Full,618,368,nan,4.25,5.8,2.7,4.25,100,0,0,,,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.05,SPATIAL_ONLY_NO_TEMPORAL,150,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
D1,10K Turn to Full Turn Blake Crt (out/return),Full,Full,368,368,nan,4.25,9.52,9.52,14.79,1.5,5,22,"2893, 2894, 2895, ... (5 total)","2532, 2533, 2535, ... (10 total)",1.4,6,5,22,129,27,0,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,200,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
E1,Friel to 10K Turn (late overlaps),10K,Full,618,368,nan,2.7,4.25,14.8,16.35,100,0,0,,,0,0,0,0,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,0.29,0.39,SPATIAL_ONLY_NO_TEMPORAL,150,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
F1,Friel to Station Rd.,10K,Half,618,912,merge,5.8,8.1,2.7,5,3,494,840,"1085, 1111, 1139, ... (10 total)","1698, 1759, 1852, ... (10 total)",79.9,92.1,494,840,81423,1334,0.3,2,9,10,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,200,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
F2,Friel to Station Rd.,10K,Full,618,368,merge,5.8,8.1,16.35,18.65,100,122,171,"1516, 1547, 1556, ... (10 total)","2549, 2575, 2617, ... (10 total)",19.7,46.5,122,171,2111,293,0,1,0,8,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,200,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
F3,Friel to Station Rd.,Half,Full,912,368,merge,2.7,5,16.35,18.65,100,0,0,,,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,100,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
G1,Full Loop QS to Trail/Aberdeen (Full Only),Full,Full,368,368,nan,20.55,21.65,20.55,21.65,3,26,26,"2693, 2695, 2712, ... (10 total)","2693, 2695, 2712, ... (10 total)",7.1,7.1,26,26,2088,26,0,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,150,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
G2,Trail/Aberdeen to Station Rd (Full outbound to Station vs 10K finish),Full,10K,368,618,nan,21.65,23.26,8.1,10,100,130,88,"2553, 2592, 2628, ... (10 total)","1543, 1547, 1556, ... (10 total)",35.3,14.2,130,88,699,218,0.6,0,5,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,150,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
