segment_id,t_start,t_end,density_mean,density_mean_fresh,density_peak_fresh,abs_rel_err
A1,2025-09-18 09:18:00+00:00,2025-09-18 09:20:00+00:00,0.0002,0.00020000000000000006,0.001,2.710505431213761e-16
A1,2025-09-18 09:20:00+00:00,2025-09-18 09:22:00+00:00,0.0010000000000000002,0.0,0.0,1.0
A1,2025-09-18 09:22:00+00:00,2025-09-18 09:24:00+00:00,0.0004000000000000001,0.001,0.002,1.4999999999999996
A1,2025-09-18 09:24:00+00:00,2025-09-18 09:26:00+00:00,0.0007999999999999999,0.00039999999999999996,0.001,0.5
A1,2025-09-18 09:26:00+00:00,2025-09-18 09:28:00+00:00,0.0009999999999999998,0.0005999999999999998,0.001,0.4
A1,2025-09-18 09:28:00+00:00,2025-09-18 09:30:00+00:00,0.0006000000000000001,0.0008,0.002,0.33333333333333326
A1,2025-09-18 09:30:00+00:00,2025-09-18 09:32:00+00:00,0.0006,0.0002,0.001,0.6666666666666666
A1,2025-09-18 09:32:00+00:00,2025-09-18 09:34:00+00:00,0.0,0.0009999999999999998,0.002,999999.9999999998
A1,2025-09-18 09:34:00+00:00,2025-09-18 09:36:00+00:00,0.0007999999999999999,0.0009999999999999998,0.003,0.24999999999999986
A1,2025-09-18 09:36:00+00:00,2025-09-18 09:38:00+00:00,0.0006000000000000001,0.001,0.002,0.6666666666666665
A1,2025-09-18 09:38:00+00:00,2025-09-18 09:40:00+00:00,0.0008,0.0004,0.001,0.5
A2,2025-09-18 07:00:00+00:00,2025-09-18 07:02:00+00:00,0.0006000000000000001,0.0007999999999999999,0.002,0.3333333333333331
A2,2025-09-18 07:02:00+00:00,2025-09-18 07:04:00+00:00,0.0007999999999999999,0.0006000000000000001,0.001,0.24999999999999986
A2,2025-09-18 07:04:00+00:00,2025-09-18 07:06:00+00:00,0.0004,0.0,0.0,1.0
A2,2025-09-18 07:06:00+00:00,2025-09-18 07:08:00+00:00,0.0005999999999999998,0.001,0.002,0.6666666666666672
A2,2025-09-18 07:08:00+00:00,2025-09-18 07:10:00+00:00,0.0,0.00019999999999999996,0.001,199999.99999999994
A2,2025-09-18 07:10:00+00:00,2025-09-18 07:12:00+00:00,0.0006,0.0008,0.002,0.33333333333333354
A2,2025-09-18 07:12:00+00:00,2025-09-18 07:14:00+00:00,0.0004,0.001,0.002,1.5
A2,2025-09-18 07:14:00+00:00,2025-09-18 07:16:00+00:00,0.0002,0.0,0.0,1.0
A2,2025-09-18 07:16:00+00:00,2025-09-18 07:18:00+00:00,0.001,0.0006000000000000001,0.002,0.39999999999999997
A2,2025-09-18 07:18:00+00:00,2025-09-18 07:20:00+00:00,0.0,0.0007999999999999998,0.002,799999.9999999998
