seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,zone_index,cp_km,cp_type,zone_source,zone_start_km_a,zone_end_km_a,zone_start_km_b,zone_end_km_b,width_m,overtaking_a,overtaking_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,has_convergence
C2,Royal to Sunset at Claremont (Full Out/Back),full,full,368,368,none,4,5.93,true_pass,true_pass,5.82,6.05,12.37,12.6,1.5,0,0,0.0,0.0,5,18,87,23,True
C2,Royal to Sunset at Claremont (Full Out/Back),full,full,368,368,none,5,6.15,true_pass,true_pass,6.03,6.26,12.58,12.81,1.5,0,0,0.0,0.0,5,13,139,18,True
C2,Royal to Sunset at Claremont (Full Out/Back),full,full,368,368,none,6,6.36,true_pass,true_pass,6.24,6.48,12.79,13.03,1.5,0,0,0.0,0.0,0,0,217,0,True
C2,Royal to Sunset at Claremont (Full Out/Back),full,full,368,368,none,7,6.57,true_pass,true_pass,6.46,6.69,13.01,13.24,1.5,0,0,0.0,0.0,0,0,298,0,True
C2,Royal to Sunset at Claremont (Full Out/Back),full,full,368,368,none,8,6.79,true_pass,true_pass,6.67,6.9,13.22,13.45,1.5,0,0,0.0,0.0,0,0,366,0,True
C2,Royal to Sunset at Claremont (Full Out/Back),full,full,368,368,none,9,7.0,true_pass,true_pass,6.88,7.12,13.43,13.67,1.5,0,0,0.0,0.0,0,0,396,0,True
C2,Royal to Sunset at Claremont (Full Out/Back),full,full,368,368,none,10,7.21,true_pass,true_pass,7.1,7.33,13.65,13.88,1.5,0,0,0.0,0.0,0,0,422,0,True
C3,Sunset at Claremont to Full Turn at Blake (Full Out/Back),full,full,368,368,none,0,7.41,true_pass,true_pass,7.41,7.52,9.52,9.63,1.5,0,293,0.0,79.6,244,296,5350,368,True
C3,Sunset at Claremont to Full Turn at Blake (Full Out/Back),full,full,368,368,none,1,7.62,true_pass,true_pass,7.52,7.73,9.63,9.84,1.5,0,293,0.0,79.6,270,323,11965,368,True
C3,Sunset at Claremont to Full Turn at Blake (Full Out/Back),full,full,368,368,none,2,7.83,true_pass,true_pass,7.73,7.94,9.84,10.05,1.5,0,293,0.0,79.6,273,324,11877,368,True
C3,Sunset at Claremont to Full Turn at Blake (Full Out/Back),full,full,368,368,none,3,8.04,true_pass,true_pass,7.94,8.15,10.05,10.26,1.5,0,293,0.0,79.6,280,328,11782,368,True
C3,Sunset at Claremont to Full Turn at Blake (Full Out/Back),full,full,368,368,none,4,8.15,true_pass,true_pass,8.04,8.25,10.15,10.36,1.5,0,293,0.0,79.6,283,328,11674,368,True
C3,Sunset at Claremont to Full Turn at Blake (Full Out/Back),full,full,368,368,none,5,8.36,true_pass,true_pass,8.25,8.46,10.36,10.57,1.5,0,268,0.0,72.8,288,331,11598,368,True
C3,Sunset at Claremont to Full Turn at Blake (Full Out/Back),full,full,368,368,none,6,8.57,true_pass,true_pass,8.46,8.68,10.57,10.79,1.5,0,192,0.0,52.2,291,331,11553,368,True
C3,Sunset at Claremont to Full Turn at Blake (Full Out/Back),full,full,368,368,none,7,8.78,true_pass,true_pass,8.68,8.89,10.79,11.0,1.5,0,0,0.0,0.0,295,332,11622,368,True
C3,Sunset at Claremont to Full Turn at Blake (Full Out/Back),full,full,368,368,none,8,8.89,true_pass,true_pass,8.78,8.99,10.89,11.1,1.5,0,0,0.0,0.0,296,332,11605,368,True
C3,Sunset at Claremont to Full Turn at Blake (Full Out/Back),full,full,368,368,none,9,9.1,true_pass,true_pass,8.99,9.2,11.1,11.31,1.5,0,0,0.0,0.0,296,332,11502,368,True
C3,Sunset at Claremont to Full Turn at Blake (Full Out/Back),full,full,368,368,none,10,9.31,true_pass,true_pass,9.2,9.41,11.31,11.52,1.5,0,0,0.0,0.0,296,331,11328,368,True
C3,Sunset at Claremont to Full Turn at Blake (Full Out/Back),full,full,368,368,none,11,9.41,true_pass,true_pass,9.31,9.52,11.42,11.63,1.5,0,0,0.0,0.0,296,331,11255,368,True
D1,Full Turn at Blake to Sunset at Claremont (Full Back),full,full,368,368,none,0,13.96,true_pass,true_pass,13.96,14.01,13.96,14.01,1.5,23,23,6.2,6.2,368,368,1996,368,True
D1,Full Turn at Blake to Sunset at Claremont (Full Back),full,full,368,368,none,1,14.07,true_pass,true_pass,14.02,14.12,14.02,14.12,1.5,23,23,6.2,6.2,368,368,4220,368,True
D1,Full Turn at Blake to Sunset at Claremont (Full Back),full,full,368,368,none,2,14.18,true_pass,true_pass,14.13,14.23,14.13,14.23,1.5,23,23,6.2,6.2,368,368,4198,368,True
D1,Full Turn at Blake to Sunset at Claremont (Full Back),full,full,368,368,none,3,14.29,true_pass,true_pass,14.24,14.34,14.24,14.34,1.5,23,23,6.2,6.2,368,368,4174,368,True
D1,Full Turn at Blake to Sunset at Claremont (Full Back),full,full,368,368,none,4,14.4,true_pass,true_pass,14.35,14.45,14.35,14.45,1.5,23,23,6.2,6.2,368,368,4146,368,True
D1,Full Turn at Blake to Sunset at Claremont (Full Back),full,full,368,368,none,5,14.51,true_pass,true_pass,14.46,14.56,14.46,14.56,1.5,23,23,6.2,6.2,368,368,4124,368,True
D1,Full Turn at Blake to Sunset at Claremont (Full Back),full,full,368,368,none,6,14.62,true_pass,true_pass,14.57,14.67,14.57,14.67,1.5,23,23,6.2,6.2,368,368,4104,368,True
D1,Full Turn at Blake to Sunset at Claremont (Full Back),full,full,368,368,none,7,14.73,true_pass,true_pass,14.68,14.78,14.68,14.78,1.5,23,23,6.2,6.2,368,368,4096,368,True
D2,Sunset at Claremont to Royal (Full Back),full,full,368,368,none,0,11.63,true_pass,true_pass,11.63,11.75,11.63,11.75,1.5,47,47,12.8,12.8,368,368,9587,368,True
D2,Sunset at Claremont to Royal (Full Back),full,full,368,368,none,1,11.85,true_pass,true_pass,11.73,11.97,11.73,11.97,1.5,47,47,12.8,12.8,368,368,18385,368,True
D2,Sunset at Claremont to Royal (Full Back),full,full,368,368,none,2,12.07,true_pass,true_pass,11.95,12.19,11.95,12.19,1.5,47,47,12.8,12.8,368,368,18081,368,True
D2,Sunset at Claremont to Royal (Full Back),full,full,368,368,none,3,12.29,true_pass,true_pass,12.17,12.41,12.17,12.41,1.5,47,47,12.8,12.8,368,368,17799,368,True
D2,Sunset at Claremont to Royal (Full Back),full,full,368,368,none,4,12.51,true_pass,true_pass,12.39,12.63,12.39,12.63,1.5,47,47,12.8,12.8,368,368,17479,368,True
D2,Sunset at Claremont to Royal (Full Back),full,full,368,368,none,5,12.73,true_pass,true_pass,12.61,12.85,12.61,12.85,1.5,47,47,12.8,12.8,368,368,17253,368,True
D2,Sunset at Claremont to Royal (Full Back),full,full,368,368,none,6,12.95,true_pass,true_pass,12.83,13.07,12.83,13.07,1.5,47,47,12.8,12.8,368,368,17009,368,True
D2,Sunset at Claremont to Royal (Full Back),full,full,368,368,none,7,13.17,true_pass,true_pass,13.05,13.29,13.05,13.29,1.5,47,47,12.8,12.8,368,368,16745,368,True
D2,Sunset at Claremont to Royal (Full Back),full,full,368,368,none,8,13.39,true_pass,true_pass,13.27,13.51,13.27,13.51,1.5,47,47,12.8,12.8,368,368,16451,368,True
D2,Sunset at Claremont to Royal (Full Back),full,full,368,368,none,9,13.61,true_pass,true_pass,13.49,13.73,13.49,13.73,1.5,47,47,12.8,12.8,368,368,16243,368,True
D2,Sunset at Claremont to Royal (Full Back),full,full,368,368,none,10,13.83,true_pass,true_pass,13.71,13.95,13.71,13.95,1.5,47,47,12.8,12.8,368,368,15999,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,0,9.52,true_pass,true_pass,9.52,9.63,9.52,9.63,1.5,78,78,21.2,21.2,368,368,9945,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,1,9.63,true_pass,true_pass,9.52,9.74,9.52,9.74,1.5,78,78,21.2,21.2,368,368,19087,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,2,9.74,true_pass,true_pass,9.63,9.85,9.63,9.85,1.5,78,78,21.2,21.2,368,368,18969,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,3,9.85,true_pass,true_pass,9.74,9.96,9.74,9.96,1.5,78,78,21.2,21.2,368,368,18747,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,4,9.96,true_pass,true_pass,9.85,10.07,9.85,10.07,1.5,78,78,21.2,21.2,368,368,18549,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,5,10.07,true_pass,true_pass,9.96,10.18,9.96,10.18,1.5,78,78,21.2,21.2,368,368,18445,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,6,10.18,true_pass,true_pass,10.07,10.29,10.07,10.29,1.5,78,78,21.2,21.2,368,368,18309,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,7,10.29,true_pass,true_pass,10.18,10.4,10.18,10.4,1.5,78,78,21.2,21.2,368,368,18165,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,8,10.4,true_pass,true_pass,10.29,10.51,10.29,10.51,1.5,78,78,21.2,21.2,368,368,17991,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,9,10.51,true_pass,true_pass,10.4,10.62,10.4,10.62,1.5,78,78,21.2,21.2,368,368,17903,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,10,10.62,true_pass,true_pass,10.51,10.73,10.51,10.73,1.5,78,78,21.2,21.2,368,368,17751,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,11,10.73,true_pass,true_pass,10.62,10.84,10.62,10.84,1.5,78,78,21.2,21.2,368,368,17621,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,12,10.84,true_pass,true_pass,10.73,10.95,10.73,10.95,1.5,78,78,21.2,21.2,368,368,17463,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,13,10.95,true_pass,true_pass,10.84,11.06,10.84,11.06,1.5,78,78,21.2,21.2,368,368,17277,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,14,11.06,true_pass,true_pass,10.95,11.17,10.95,11.17,1.5,78,78,21.2,21.2,368,368,17137,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,15,11.17,true_pass,true_pass,11.06,11.28,11.06,11.28,1.5,78,78,21.2,21.2,368,368,16981,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,16,11.28,true_pass,true_pass,11.17,11.39,11.17,11.39,1.5,78,78,21.2,21.2,368,368,16833,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,17,11.39,true_pass,true_pass,11.28,11.5,11.28,11.5,1.5,78,78,21.2,21.2,368,368,16693,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,18,11.5,true_pass,true_pass,11.39,11.61,11.39,11.61,1.5,78,78,21.2,21.2,368,368,16537,368,True
D3,Royal to 10K Turn (Full Back),full,full,368,368,none,19,11.61,true_pass,true_pass,11.5,11.63,11.5,11.63,1.5,78,78,21.2,21.2,368,368,10113,368,True
E1a,Friel to Hughes,10k,half,618,912,merge,0,5.8,true_pass,true_pass,5.8,5.85,2.7,2.75,3.0,87,563,14.1,61.7,474,911,16978,1398,True
E1a,Friel to Hughes,10k,half,618,912,merge,1,5.91,true_pass,true_pass,5.86,5.96,2.76,2.86,3.0,87,564,14.1,61.8,505,912,39673,1418,True
E1a,Friel to Hughes,10k,half,618,912,merge,2,6.01,true_pass,true_pass,5.96,6.06,2.86,2.96,3.0,87,564,14.1,61.8,511,912,39065,1423,True
E1a,Friel to Hughes,10k,half,618,912,merge,3,6.11,true_pass,true_pass,6.06,6.16,2.96,3.06,3.0,87,563,14.1,61.7,511,912,38551,1423,True
