bin_id,segment_id,start_km,end_km,t_start,t_end,density,rate,los_class,bin_size_km,schema_version,analysis_hash
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:20:00Z,2025-10-15T07:22:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:22:00Z,2025-10-15T07:24:00Z,0.0600,0.5266,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:22:00Z,2025-10-15T07:24:00Z,0.5630,6.9078,C,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:22:00Z,2025-10-15T07:24:00Z,0.4810,6.9624,C,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:22:00Z,2025-10-15T07:24:00Z,0.1110,1.9214,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:22:00Z,2025-10-15T07:24:00Z,0.0140,0.2870,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:24:00Z,2025-10-15T07:26:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:24:00Z,2025-10-15T07:26:00Z,0.0500,0.4040,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:24:00Z,2025-10-15T07:26:00Z,0.2620,2.8198,B,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:24:00Z,2025-10-15T07:26:00Z,0.4740,6.3715,C,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:24:00Z,2025-10-15T07:26:00Z,0.2120,3.0943,B,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:26:00Z,2025-10-15T07:28:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:26:00Z,2025-10-15T07:28:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:26:00Z,2025-10-15T07:28:00Z,0.0450,0.3524,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:26:00Z,2025-10-15T07:28:00Z,0.1480,1.4461,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:26:00Z,2025-10-15T07:28:00Z,0.1390,1.6254,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:28:00Z,2025-10-15T07:30:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:28:00Z,2025-10-15T07:30:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:28:00Z,2025-10-15T07:30:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:28:00Z,2025-10-15T07:30:00Z,0.0420,0.3238,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:28:00Z,2025-10-15T07:30:00Z,0.0490,0.4285,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:30:00Z,2025-10-15T07:32:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:30:00Z,2025-10-15T07:32:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:30:00Z,2025-10-15T07:32:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:30:00Z,2025-10-15T07:32:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:30:00Z,2025-10-15T07:32:00Z,0.0170,0.1246,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:32:00Z,2025-10-15T07:34:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:32:00Z,2025-10-15T07:34:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:32:00Z,2025-10-15T07:34:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:32:00Z,2025-10-15T07:34:00Z,0.0000,0.0000,A,0.2000,1.0.0,
