segment_id,t_start,t_end,density_mean,density_mean_fresh,density_peak_fresh,abs_rel_err
A3,2025-10-14 09:06:00+00:00,2025-10-14 09:08:00+00:00,0.0008,0.0008,0.003,0.0
A3,2025-10-14 09:08:00+00:00,2025-10-14 09:10:00+00:00,0.0,0.0,0.0,0.0
A3,2025-10-14 09:10:00+00:00,2025-10-14 09:12:00+00:00,0.0006,0.0006,0.003,0.0
A3,2025-10-14 09:12:00+00:00,2025-10-14 09:14:00+00:00,0.0,0.0,0.0,0.0
A3,2025-10-14 09:14:00+00:00,2025-10-14 09:16:00+00:00,0.00020000000000000006,0.00020000000000000006,0.001,0.0
A3,2025-10-14 09:16:00+00:00,2025-10-14 09:18:00+00:00,0.0006,0.0006,0.002,0.0
A3,2025-10-14 09:18:00+00:00,2025-10-14 09:20:00+00:00,0.0004000000000000001,0.0004000000000000001,0.001,0.0
A3,2025-10-14 09:20:00+00:00,2025-10-14 09:22:00+00:00,0.0009999999999999998,0.0009999999999999998,0.002,0.0
A3,2025-10-14 09:22:00+00:00,2025-10-14 09:24:00+00:00,0.0006000000000000001,0.0006000000000000001,0.002,0.0
A3,2025-10-14 09:24:00+00:00,2025-10-14 09:26:00+00:00,0.0005999999999999998,0.0005999999999999998,0.001,0.0
