event,runner_id,pace,distance,start_offset
half,1783,4.916666667,21.1,27
half,1784,4.916666667,21.1,29
half,1785,4.933333333,21.1,9
half,1786,4.933333333,21.1,19
half,1787,4.933333333,21.1,24
half,1788,4.933333333,21.1,30
half,1789,4.933333333,21.1,30
half,1790,4.933333333,21.1,31
half,1791,4.966666667,21.1,12
half,1792,4.966666667,21.1,15
half,1793,4.95,21.1,32
half,1794,4.983333333,21.1,22
half,1795,4.966666667,21.1,34
half,1796,4.966666667,21.1,31
half,1797,4.983333333,21.1,28
half,1798,5,21.1,16
half,1799,5.016666667,21.1,28
half,1800,5,21.1,37
half,1801,5.016666667,21.1,25
half,1802,5.033333333,21.1,22
half,1803,5.033333333,21.1,22
half,1804,5.016666667,21.1,41
half,1805,5.033333333,21.1,20
half,1806,5.05,21.1,8
half,1807,5.05,21.1,27
half,1808,5.05,21.1,32
half,1809,5.05,21.1,25
half,1810,5.05,21.1,20
half,1811,5.05,21.1,24
half,1812,5,21.1,85
half,1813,5.066666667,21.1,25
half,1814,5.066666667,21.1,25
half,1815,5.066666667,21.1,27
half,1816,5.05,21.1,48
half,1817,5.066666667,21.1,25
half,1818,5.083333333,21.1,28
half,1819,5.1,21.1,15
half,1820,5.083333333,21.1,49
half,1821,5.116666667,21.1,22
half,1822,5.1,21.1,29
half,1823,5.116666667,21.1,25
half,1824,5.133333333,21.1,9
half,1825,5.133333333,21.1,8
half,1826,5.133333333,21.1,24
half,1827,5.133333333,21.1,21
half,1828,5.133333333,21.1,25
half,1829,5.133333333,21.1,29
half,1830,5.15,21.1,18
half,1831,5.133333333,21.1,39
half,1832,5.133333333,21.1,45
half,1833,5.15,21.1,31
half,1834,5.166666667,21.1,12
half,1835,5.15,21.1,27
half,1836,5.15,21.1,39
half,1837,5.15,21.1,30
half,1838,5.166666667,21.1,12
half,1839,5.15,21.1,45
half,1840,5.166666667,21.1,31
half,1841,5.183333333,21.1,14
half,1842,5.183333333,21.1,14
half,1843,5.15,21.1,56
half,1844,5.15,21.1,52
half,1845,5.183333333,21.1,26
half,1846,5.133333333,21.1,95
half,1847,5.2,21.1,27
half,1848,5.2,21.1,28
half,1849,5.2,21.1,38
half,1850,5.216666667,21.1,12
half,1851,5.2,21.1,48
half,1852,5.183333333,21.1,67
half,1853,5.216666667,21.1,28
half,1854,5.2,21.1,66
half,1855,5.233333333,21.1,23
half,1856,5.2,21.1,56
half,1857,5.2,21.1,55
half,1858,5.233333333,21.1,34
half,1859,5.25,21.1,6
half,1860,5.25,21.1,20
half,1861,5.233333333,21.1,30
half,1862,5.25,21.1,24
half,1863,5.233333333,21.1,34
half,1864,5.233333333,21.1,42
half,1865,5.233333333,21.1,35
half,1866,5.25,21.1,28
half,1867,5.233333333,21.1,41
half,1868,5.216666667,21.1,70
half,1869,5.183333333,21.1,118
half,1870,5.283333333,21.1,8
half,1871,5.2,21.1,106
half,1872,5.266666667,21.1,37
half,1873,5.266666667,21.1,29
half,1874,5.25,21.1,52
half,1875,5.283333333,21.1,19
half,1876,5.266666667,21.1,42
half,1877,5.283333333,21.1,32
half,1878,5.266666667,21.1,59
half,1879,5.3,21.1,16
half,1880,5.283333333,21.1,44
half,1881,5.283333333,21.1,45
half,1882,5.3,21.1,31
half,1883,5.283333333,21.1,55
half,1884,5.3,21.1,40
half,1885,5.3,21.1,42
half,1886,5.316666667,21.1,12
half,1887,5.316666667,21.1,26
