loc_id,loc_label,loc_type,loc_direction,lat,lon,proxy_loc_id,seg_id,day,zone,full,half,10k,elite,open,buffer,interval,fpf_count,awp_count,yssr_count,vol_count,caf_count,sja_count,fdsa_count,ofc_count,notes
42,St. Mary's Street and trail,course,East to Station Rd with runners crossing street on trail,45.972477,-66.634481,,F1,sun,2,y,y,y,n,n,10,5,0,2,0,0,0,0,0,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
43,Cliffe Street and trail,course,East to Station Rd with runners crossing street on trail,45.971631,-66.63265,,F1,sun,2,y,y,y,n,n,10,5,0,2,0,0,0,0,0,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
44,Trail at Hughes,course,East to Station Rd with runners crossing street on trail,45.970714,-66.631404,,F1,sun,2,y,y,y,n,n,10,5,0,0,0,2,0,0,0,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
45,Trail at Clark ,course,East to Station Rd with runners crossing street on trail,45.968541,-66.62843,,F1,sun,2,y,y,y,n,n,10,5,0,0,0,2,0,0,0,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
46,Trail at Neil,course,East to Station Rd with runners crossing street on trail,45.966391,-66.62559,,F1,sun,2,y,y,y,n,n,10,5,0,0,0,2,0,0,0,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
47,Trail at Pine,course,East to Station Rd with runners crossing street on trail,45.965865,-66.624915,,F1,sun,2,y,y,y,n,n,10,5,0,0,0,2,0,0,0,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
48,Trail at Gill,course,East to Station Rd with runners crossing street on trail,45.965322,-66.624234,,F1,sun,2,y,y,y,n,n,10,5,0,0,0,2,0,0,0,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
49,Trail and Gibson Street,course,East to Station Rd with runners crossing street on trail,45.962892,-66.620926,,F1,sun,2,y,y,y,n,n,10,5,0,1,1,0,0,0,0,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
50,Baker at Station,course,North (10K turn); East (Half and South (Full turn),45.959578,-66.619601,,"""F1,I1,K1,L2""",sun,2,y,y,y,n,n,10,5,0,0,1,0,0,0,0,0,Stop traffic from crossing the trail towards soccer fields / treatment plant while runners are there.
51,Greenwood Drive (at Watters),course,East to Gibson Trail,45.953734,-66.617356,,I1,sun,4,y,y,n,n,n,10,5,0,2,0,0,0,0,0,0,1 TCP Truck Required. Stop traffic from crossing the trail while runners are there. Re-open when last Marathon runner crosses second Greenwood.
52,Greenwood Drive (at Gibson Trail),course,North to Marysville,45.953354,-66.606298,,I1,sun,4,y,y,n,n,n,10,5,0,2,0,0,0,0,0,0,1 TCP Truck Required. Second Greenwood traffic control point near the Baptist Church. Stop traffic from crossing the trail while runners are there. Re-open when last Marathon runner crosses second Greenwood.
53,Bridge Street and River Street,course,"River Street to Mill St., crossing bridge",45.978916,-66.5895,,I1,sun,4,y,y,n,n,n,10,5,1,2,0,0,0,0,0,0,Full closure from 08:00 to 10:30 a.m.  Then traffic control at Bridge @ Mill St.
54,Fisher at McGloin,course,Runners crossing street on trail,45.975889,-66.588228,,I1,sun,4,y,y,n,n,n,10,5,0,0,1,0,0,0,0,0,Stop traffic from crossing the trail while runners exit Gibson Trail on to McGloin Street. Remains in place until last runner crosses Marysville Bridge.
55,Gibson Trail exit at McGloin,course,Runners crossing street on trail,45.976241,-66.589311,,I1,sun,4,y,y,n,n,n,10,5,0,0,0,2,0,0,0,2,Direct Runners onto McGloin Street (official course) and *not* on to the sidewalk. 
56,Minue Terrace (South),course,Runners on McGloin,45.976862,-66.589644,,I1,sun,4,y,y,n,n,n,10,5,0,0,0,1,0,0,0,0,Stop traffic from entering McGloin while runners are there. Local traffic to exit towards Bridge St. to River and Allen St.
57,Minue Terrace (North),course,Runners on McGloin,45.977376,-66.58968,,I1,sun,4,y,y,n,n,n,10,5,0,0,0,1,0,0,0,0,Stop traffic from entering McGloin while runners are there. Local traffic to exit towards Bridge St. to River and Allen St.
58,Morrison Street and Bridge Street,course,Runners at Bridge & River,45.978923,-66.588199,,I1,sun,4,y,y,n,n,n,10,5,0,2,0,0,0,0,0,0,1 TCP Truck Required. Stop traffic at this point while Marysville Bridge is fully closed until 10:30 a.m. Turn on Morrison to Allen and Downing. Traffic control after 10:30 a.m. will be on Bridge and Mill Streets.
59,Bridge Street and Mill Street,course,Runners crossing Bridge St. both ways,45.978853,-66.592023,,"""I1,J1,J4,J5""",sun,4,y,y,n,n,n,10,5,1,0,2,0,0,0,0,0,"Full closure from 08:00 to 10:30 a.m. Afterwards, traffic control at Bridge & Mill as runners cross both directions"
