event,runner_id,pace,distance,start_offset,day
Open,3317,7.47,5,0,sat
Open,3318,7.32,5,44,sat
Open,3319,7.35,5,38,sat
Open,3320,7.28,5,58,sat
Open,3321,7.42,5,19,sat
Open,3322,7.42,5,19,sat
Open,3323,7.4,5,23,sat
Open,3324,7.4,5,22,sat
Open,3325,7.3,5,55,sat
Open,3326,7.38,5,31,sat
Open,3327,7.38,5,31,sat
Open,3328,7.4,5,27,sat
Open,3329,7.35,5,42,sat
Open,3330,7.45,5,14,sat
Open,3331,7.45,5,13,sat
Open,3332,7.32,5,57,sat
Open,3333,7.38,5,35,sat
Open,3334,7.35,5,51,sat
Open,3335,7.38,5,41,sat
Open,3336,7.37,5,46,sat
Open,3337,7.32,5,62,sat
Open,3338,7.48,5,20,sat
Open,3339,7.5,5,19,sat
Open,3340,7.5,5,23,sat
Open,3341,7.5,5,23,sat
Open,3342,7.4,5,49,sat
Open,3343,7.52,5,19,sat
Open,3344,7.52,5,18,sat
Open,3345,7.5,5,23,sat
Open,3346,7.47,5,32,sat
Open,3347,7.47,5,32,sat
Open,3348,7.4,5,60,sat
Open,3349,7.55,5,21,sat
Open,3350,7.6,5,12,sat
Open,3351,7.53,5,34,sat
Open,3352,7.57,5,35,sat
Open,3353,7.57,5,38,sat
Open,3354,7.57,5,37,sat
Open,3355,7.53,5,49,sat
Open,3356,7.53,5,50,sat
Open,3357,7.58,5,35,sat
Open,3358,7.72,5,2,sat
Open,3359,7.52,5,63,sat
Open,3360,7.72,5,7,sat
Open,3361,7.72,5,10,sat
Open,3362,7.65,5,29,sat
Open,3363,7.75,5,2,sat
Open,3364,7.63,5,45,sat
Open,3365,7.62,5,49,sat
Open,3366,7.58,5,60,sat
Open,3367,7.62,5,56,sat
Open,3368,7.6,5,66,sat
Open,3369,7.73,5,32,sat
Open,3370,7.62,5,65,sat
Open,3371,7.68,5,62,sat
Open,3372,7.7,5,56,sat
Open,3373,7.7,5,56,sat
Open,3374,7.85,5,19,sat
Open,3375,7.73,5,55,sat
Open,3376,7.72,5,63,sat
Open,3377,7.78,5,54,sat
Open,3378,7.9,5,29,sat
Open,3379,7.93,5,26,sat
Open,3380,7.92,5,36,sat
Open,3381,7.9,5,45,sat
Open,3382,7.93,5,38,sat
Open,3383,7.87,5,59,sat
Open,3384,7.87,5,67,sat
Open,3385,8.0,5,31,sat
Open,3386,8.05,5,31,sat
Open,3387,8.05,5,30,sat
Open,3388,8.0,5,57,sat
Open,3389,8.15,5,21,sat
Open,3390,8.03,5,67,sat
Open,3391,8.03,5,67,sat
Open,3392,8.27,5,0,sat
Open,3393,8.25,5,29,sat
Open,3394,8.23,5,41,sat
Open,3395,8.25,5,50,sat
Open,3396,8.27,5,50,sat
Open,3397,8.27,5,51,sat
Open,3398,8.43,5,19,sat
Open,3399,8.43,5,19,sat
Open,3400,8.28,5,62,sat
Open,3401,8.28,5,63,sat
Open,3402,8.48,5,9,sat
Open,3403,8.33,5,58,sat
Open,3404,8.32,5,59,sat
Open,3405,8.33,5,62,sat
Open,3406,8.33,5,62,sat
Open,3407,8.5,5,19,sat
Open,3408,8.38,5,61,sat
Open,3409,8.4,5,58,sat
Open,3410,8.47,5,39,sat
Open,3411,8.48,5,39,sat
Open,3412,8.42,5,58,sat
Open,3413,8.57,5,24,sat
