event,runner_id,pace,distance,start_offset
Half,1773,4.9,21.1,30
Half,1774,4.9,21.1,17
Half,1775,4.916666667,21.1,8
Half,1776,4.9,21.1,25
Half,1777,4.916666667,21.1,15
Half,1778,4.933333333,21.1,11
Half,1779,4.916666667,21.1,19
Half,1780,4.916666667,21.1,22
Half,1781,4.933333333,21.1,14
Half,1782,4.933333333,21.1,17
Half,1783,4.916666667,21.1,27
Half,1784,4.916666667,21.1,29
Half,1785,4.933333333,21.1,9
Half,1786,4.933333333,21.1,19
Half,1787,4.933333333,21.1,24
Half,1788,4.933333333,21.1,30
Half,1789,4.933333333,21.1,30
Half,1790,4.933333333,21.1,31
Half,1791,4.966666667,21.1,12
Half,1792,4.966666667,21.1,15
Half,1793,4.95,21.1,32
Half,1794,4.983333333,21.1,22
Half,1795,4.966666667,21.1,34
Half,1796,4.966666667,21.1,31
Half,1797,4.983333333,21.1,28
Half,1798,5,21.1,16
Half,1799,5.016666667,21.1,28
Half,1800,5,21.1,37
Half,1801,5.016666667,21.1,25
Half,1802,5.033333333,21.1,22
Half,1803,5.033333333,21.1,22
Half,1804,5.016666667,21.1,41
Half,1805,5.033333333,21.1,20
Half,1806,5.05,21.1,8
Half,1807,5.05,21.1,27
Half,1808,5.05,21.1,32
Half,1809,5.05,21.1,25
Half,1810,5.05,21.1,20
Half,1811,5.05,21.1,24
Half,1812,5,21.1,85
Half,1813,5.066666667,21.1,25
Half,1814,5.066666667,21.1,25
Half,1815,5.066666667,21.1,27
Half,1816,5.05,21.1,48
Half,1817,5.066666667,21.1,25
Half,1818,5.083333333,21.1,28
Half,1819,5.1,21.1,15
Half,1820,5.083333333,21.1,49
Half,1821,5.116666667,21.1,22
Half,1822,5.1,21.1,29
Half,1823,5.116666667,21.1,25
Half,1824,5.133333333,21.1,9
Half,1825,5.133333333,21.1,8
Half,1826,5.133333333,21.1,24
Half,1827,5.133333333,21.1,21
Half,1828,5.133333333,21.1,25
Half,1829,5.133333333,21.1,29
Half,1830,5.15,21.1,18
Half,1831,5.133333333,21.1,39
Half,1832,5.133333333,21.1,45
Half,1833,5.15,21.1,31
Half,1834,5.166666667,21.1,12
Half,1835,5.15,21.1,27
Half,1836,5.15,21.1,39
Half,1837,5.15,21.1,30
Half,1838,5.166666667,21.1,12
Half,1839,5.15,21.1,45
Half,1840,5.166666667,21.1,31
Half,1841,5.183333333,21.1,14
Half,1842,5.183333333,21.1,14
Half,1843,5.15,21.1,56
Half,1844,5.15,21.1,52
Half,1845,5.183333333,21.1,26
Half,1846,5.133333333,21.1,95
Half,1847,5.2,21.1,27
Half,1848,5.2,21.1,28
Half,1849,5.2,21.1,38
Half,1850,5.216666667,21.1,12
Half,1851,5.2,21.1,48
Half,1852,5.183333333,21.1,67
Half,1853,5.216666667,21.1,28
Half,1854,5.2,21.1,66
Half,1855,5.233333333,21.1,23
Half,1856,5.2,21.1,56
Half,1857,5.2,21.1,55
Half,1858,5.233333333,21.1,34
Half,1859,5.25,21.1,6
Half,1860,5.25,21.1,20
Half,1861,5.233333333,21.1,30
Half,1862,5.25,21.1,24
Half,1863,5.233333333,21.1,34
Half,1864,5.233333333,21.1,42
Half,1865,5.233333333,21.1,35
Half,1866,5.25,21.1,28
Half,1867,5.233333333,21.1,41
Half,1868,5.216666667,21.1,70
Half,1869,5.183333333,21.1,118
Half,1870,5.283333333,21.1,8
Half,1871,5.2,21.1,106
