event,runner_id,pace,distance,start_offset
Full,2797,6.033333333,42.2,41
Full,2798,6.033333333,42.2,39
Full,2799,6.033333333,42.2,49
Full,2800,6.033333333,42.2,48
Full,2801,6.05,42.2,37
Full,2802,6.016666667,42.2,117
Full,2803,6.066666667,42.2,21
Full,2804,6.066666667,42.2,53
Full,2805,6.05,42.2,73
Full,2806,6.066666667,42.2,63
Full,2807,6.083333333,42.2,66
Full,2808,6.083333333,42.2,102
Full,2809,6.1,42.2,84
Full,2810,6.116666667,42.2,35
Full,2811,6.1,42.2,102
Full,2812,6.133333333,42.2,60
Full,2813,6.183333333,42.2,17
Full,2814,6.166666667,42.2,41
Full,2815,6.183333333,42.2,44
Full,2816,6.25,42.2,18
Full,2817,6.233333333,42.2,90
Full,2818,6.266666667,42.2,99
Full,2819,6.316666667,42.2,48
Full,2820,6.333333333,42.2,37
Full,2821,6.35,42.2,50
Full,2822,6.366666667,42.2,38
Full,2823,6.366666667,42.2,68
Full,2824,6.383333333,42.2,61
Full,2825,6.366666667,42.2,100
Full,2826,6.383333333,42.2,95
Full,2827,6.383333333,42.2,101
Full,2828,6.4,42.2,77
Full,2829,6.4,42.2,86
Full,2830,6.4,42.2,87
Full,2831,6.416666667,42.2,50
Full,2832,6.433333333,42.2,81
Full,2833,6.45,42.2,113
Full,2834,6.5,42.2,49
Full,2835,6.483333333,42.2,104
Full,2836,6.483333333,42.2,87
Full,2837,6.5,42.2,81
Full,2838,6.566666667,42.2,0
Full,2839,6.533333333,42.2,75
Full,2840,6.533333333,42.2,123
Full,2841,6.6,42.2,62
Full,2842,6.616666667,42.2,72
Full,2843,6.616666667,42.2,79
Full,2844,6.633333333,42.2,48
Full,2845,6.616666667,42.2,92
Full,2846,6.633333333,42.2,68
Full,2847,6.65,42.2,81
Full,2848,6.666666667,42.2,47
Full,2849,6.683333333,42.2,38
Full,2850,6.683333333,42.2,52
Full,2851,6.7,42.2,28
Full,2852,6.683333333,42.2,80
Full,2853,6.683333333,42.2,82
Full,2854,6.683333333,42.2,79
Full,2855,6.75,42.2,70
